co,pm10,o3,so2,pm25,no2,aqi,city_name,date,grade
1.9,257,53,114,150,86,199,济南,2013-12-02,中度污染
2.9,346,28,153,206,103,256,济南,2013-12-03,重度污染
1.6,187,45,106,107,72,140,济南,2013-12-04,轻度污染
1.5,254,50,114,171,71,221,济南,2013-12-05,重度污染
1.4,177,40,96,101,69,133,济南,2013-12-06,轻度污染
1.9,312,50,106,205,84,255,济南,2013-12-07,重度污染
2.2,388,28,71,279,84,329,济南,2013-12-08,严重污染
1.1,162,52,63,98,45,128,济南,2013-12-09,轻度污染
1.1,168,37,92,91,61,120,济南,2013-12-10,轻度污染
0.7,108,42,79,47,45,79,济南,2013-12-11,良
1.0,169,39,103,69,57,109,济南,2013-12-12,轻度污染
1.2,182,27,151,72,82,116,济南,2013-12-13,轻度污染
2.6,376,17,213,202,116,252,济南,2013-12-14,重度污染
3.4,496,15,208,277,131,395,济南,2013-12-15,严重污染
3.2,467,16,203,275,135,359,济南,2013-12-16,严重污染
2.2,352,15,166,203,101,253,济南,2013-12-17,重度污染
0.8,120,37,82,70,48,94,济南,2013-12-18,良
1.4,231,19,134,145,76,193,济南,2013-12-19,中度污染
1.6,237,30,114,148,87,198,济南,2013-12-20,中度污染
1.4,161,34,123,84,81,111,济南,2013-12-21,轻度污染
1.6,201,20,132,119,84,156,济南,2013-12-22,中度污染
1.7,325,22,140,196,99,246,济南,2013-12-23,重度污染
2.7,463,18,197,304,129,354,济南,2013-12-24,严重污染
2.2,487,28,177,323,120,384,济南,2013-12-25,严重污染
0.9,240,49,57,131,52,173,济南,2013-12-26,中度污染
1.0,136,31,107,70,64,94,济南,2013-12-27,良
1.3,188,30,127,100,74,131,济南,2013-12-28,轻度污染
0.9,153,41,106,73,61,102,济南,2013-12-29,轻度污染
1.2,191,31,137,83,77,120,济南,2013-12-30,轻度污染
1.0,237,41,128,74,69,144,济南,2013-12-31,轻度污染
1.3,208,31,138,71,73,129,济南,2014-01-01,轻度污染
2.1,238,28,148,99,83,144,济南,2014-01-02,轻度污染
2.3,312,17,174,159,93,209,济南,2014-01-03,重度污染
1.4,171,34,108,86,63,114,济南,2014-01-04,轻度污染
1.8,315,24,127,192,79,242,济南,2014-01-05,重度污染
4.1,589,13,161,361,116,489,济南,2014-01-06,严重污染
1.6,156,31,120,94,55,124,济南,2014-01-08,轻度污染
1.5,163,33,148,90,59,118,济南,2014-01-09,轻度污染
1.9,242,38,110,149,62,199,济南,2014-01-10,中度污染
2.0,241,40,113,156,68,206,济南,2014-01-11,重度污染
2.4,279,34,173,177,82,227,济南,2014-01-12,重度污染
1.7,179,41,126,102,64,134,济南,2014-01-13,轻度污染
2.0,287,35,130,176,72,226,济南,2014-01-14,重度污染
1.9,307,54,114,199,66,249,济南,2014-01-15,重度污染
1.5,263,63,106,159,61,209,济南,2014-01-16,重度污染
3.0,423,16,130,280,78,330,济南,2014-01-17,严重污染
2.0,225,42,105,144,74,191,济南,2014-01-18,中度污染
2.3,341,53,143,203,88,253,济南,2014-01-19,重度污染
1.3,287,62,68,95,54,168,济南,2014-01-20,中度污染
1.0,73,38,57,31,47,61,济南,2014-01-21,良
1.0,155,62,72,61,49,102,济南,2014-01-22,轻度污染
1.1,170,85,67,73,51,110,济南,2014-01-23,轻度污染
3.4,305,50,176,172,107,222,济南,2014-01-24,重度污染
2.5,208,50,121,117,66,153,济南,2014-01-25,中度污染
1.4,118,53,82,53,52,84,济南,2014-01-26,良
1.2,167,69,67,68,44,108,济南,2014-01-27,轻度污染
1.7,186,48,111,91,55,120,济南,2014-01-28,轻度污染
1.2,161,85,61,85,28,113,济南,2014-01-29,轻度污染
2.5,394,73,130,265,60,315,济南,2014-01-30,严重污染
3.8,399,9,67,239,37,289,济南,2014-02-01,重度污染
3.1,330,19,98,198,48,248,济南,2014-02-02,重度污染
1.2,112,60,105,39,34,81,济南,2014-02-03,良
1.4,88,45,129,43,42,69,济南,2014-02-04,良
1.4,92,37,79,66,38,89,济南,2014-02-05,良
1.5,113,48,131,89,48,117,济南,2014-02-06,轻度污染
1.6,111,35,113,85,56,112,济南,2014-02-07,轻度污染
1.6,112,56,129,83,47,110,济南,2014-02-08,轻度污染
1.4,77,58,78,51,30,70,济南,2014-02-09,良
1.4,71,68,91,43,40,60,济南,2014-02-10,良
1.5,118,64,126,81,54,107,济南,2014-02-11,轻度污染
2.3,253,33,229,175,85,225,济南,2014-02-12,重度污染
2.1,223,64,183,155,79,205,济南,2014-02-13,重度污染
1.6,206,101,106,143,58,190,济南,2014-02-14,中度污染
1.4,164,88,66,114,45,148,济南,2014-02-15,轻度污染
2.1,259,66,182,170,75,220,济南,2014-02-16,重度污染
1.9,200,45,148,129,63,169,济南,2014-02-17,中度污染
1.7,126,51,180,69,69,93,济南,2014-02-18,良
2.4,211,26,194,122,92,160,济南,2014-02-19,中度污染
2.4,246,50,151,144,76,191,济南,2014-02-20,中度污染
1.5,206,101,74,122,58,159,济南,2014-02-21,中度污染
1.9,222,87,126,125,82,164,济南,2014-02-22,中度污染
2.1,270,69,133,147,92,196,济南,2014-02-23,中度污染
2.5,368,50,139,205,107,255,济南,2014-02-24,重度污染
2.4,335,73,118,188,98,238,济南,2014-02-25,重度污染
1.5,169,68,77,88,61,117,济南,2014-02-26,轻度污染
1.3,108,60,56,60,46,81,济南,2014-02-27,良
1.6,130,47,130,56,87,90,济南,2014-02-28,良
1.4,171,83,85,98,74,129,济南,2014-03-01,轻度污染
1.6,237,85,93,135,70,179,济南,2014-03-02,中度污染
1.2,183,91,69,91,50,120,济南,2014-03-03,轻度污染
1.2,119,86,78,57,56,85,济南,2014-03-04,良
1.8,161,65,128,82,86,109,济南,2014-03-05,轻度污染
1.8,212,46,140,103,84,135,济南,2014-03-06,轻度污染
1.4,190,73,109,108,68,141,济南,2014-03-07,轻度污染
1.1,187,94,84,112,63,147,济南,2014-03-08,轻度污染
2.0,276,64,175,156,102,206,济南,2014-03-09,重度污染
1.4,250,120,93,132,63,175,济南,2014-03-10,中度污染
0.9,175,135,60,85,59,113,济南,2014-03-11,轻度污染
0.9,174,72,70,59,69,112,济南,2014-03-12,轻度污染
1.1,132,58,71,52,64,91,济南,2014-03-13,良
0.8,128,78,58,43,50,89,济南,2014-03-14,良
0.5,170,117,48,49,34,110,济南,2014-03-15,轻度污染
0.7,150,131,48,58,43,100,济南,2014-03-16,良
0.9,243,123,66,99,48,147,济南,2014-03-17,轻度污染
1.1,427,73,98,88,47,309,济南,2014-03-18,严重污染
1.0,129,83,89,55,45,89,济南,2014-03-19,良
0.6,102,94,29,40,30,76,济南,2014-03-20,良
0.6,123,103,42,40,31,87,济南,2014-03-21,良
0.6,142,118,38,51,32,96,济南,2014-03-22,良
1.0,187,126,51,78,67,118,济南,2014-03-23,轻度污染
0.9,195,144,65,83,52,122,济南,2014-03-24,轻度污染
1.4,279,95,98,144,75,192,济南,2014-03-25,中度污染
1.3,296,116,46,155,58,205,济南,2014-03-26,重度污染
0.7,139,164,35,61,31,104,济南,2014-03-27,轻度污染
1.0,190,111,47,91,49,120,济南,2014-03-28,轻度污染
1.4,317,91,72,171,59,221,济南,2014-03-29,重度污染
1.1,182,134,57,69,64,116,济南,2014-03-30,轻度污染
1.0,232,134,69,86,74,141,济南,2014-03-31,轻度污染
0.8,173,145,43,70,48,111,济南,2014-04-01,轻度污染
0.8,191,126,53,72,45,120,济南,2014-04-02,轻度污染
1.1,192,100,77,64,51,121,济南,2014-04-03,轻度污染
0.9,280,132,62,73,56,165,济南,2014-04-04,中度污染
0.7,163,100,65,39,38,106,济南,2014-04-05,轻度污染
0.7,160,106,52,51,50,105,济南,2014-04-06,轻度污染
0.8,154,107,51,57,53,102,济南,2014-04-07,轻度污染
1.0,201,154,39,89,61,126,济南,2014-04-08,轻度污染
0.9,179,180,30,77,35,118,济南,2014-04-09,轻度污染
1.7,293,113,154,134,70,177,济南,2014-04-10,中度污染
1.7,285,51,163,152,77,202,济南,2014-04-11,重度污染
1.9,214,24,86,140,74,186,济南,2014-04-12,中度污染
1.3,247,129,102,158,57,208,济南,2014-04-13,重度污染
0.7,156,151,30,92,26,122,济南,2014-04-14,轻度污染
1.4,242,128,131,112,63,146,济南,2014-04-15,轻度污染
1.9,277,143,148,129,74,170,济南,2014-04-16,中度污染
1.3,215,81,49,132,54,174,济南,2014-04-17,中度污染
1.9,283,72,126,179,62,229,济南,2014-04-18,重度污染
1.5,163,64,143,78,73,107,济南,2014-04-19,轻度污染
1.3,235,85,132,127,76,167,济南,2014-04-20,中度污染
1.4,271,108,61,161,61,211,济南,2014-04-21,重度污染
0.8,177,142,49,97,38,128,济南,2014-04-22,轻度污染
0.6,148,149,33,67,19,99,济南,2014-04-23,良
0.7,128,222,41,63,36,157,济南,2014-04-24,中度污染
0.7,110,164,25,42,38,104,济南,2014-04-25,轻度污染
0.9,81,94,30,49,33,68,济南,2014-04-26,良
0.5,73,101,17,37,14,61,济南,2014-04-27,良
0.7,99,129,32,46,32,74,济南,2014-04-28,良
0.9,152,172,36,60,69,111,济南,2014-04-29,轻度污染
0.7,154,186,35,70,56,124,济南,2014-04-30,轻度污染
0.6,159,186,35,75,27,124,济南,2014-05-01,轻度污染
0.4,137,147,31,41,21,94,济南,2014-05-02,良
0.4,148,147,38,38,28,99,济南,2014-05-03,良
0.4,127,138,20,41,20,88,济南,2014-05-04,良
0.5,118,127,44,43,39,84,济南,2014-05-05,良
0.5,194,159,32,54,19,122,济南,2014-05-06,轻度污染
0.8,184,178,44,70,29,117,济南,2014-05-07,轻度污染
1.6,208,136,101,89,89,129,济南,2014-05-08,轻度污染
1.2,169,176,46,73,57,115,济南,2014-05-09,轻度污染
1.2,109,150,50,54,63,92,济南,2014-05-10,良
1.0,61,103,28,37,39,55,济南,2014-05-11,良
0.7,106,127,57,45,36,78,济南,2014-05-12,良
0.5,104,156,35,41,26,97,济南,2014-05-13,良
0.6,137,148,35,47,38,94,济南,2014-05-14,良
0.7,169,124,48,52,42,109,济南,2014-05-15,轻度污染
0.8,169,138,56,62,40,109,济南,2014-05-16,轻度污染
1.8,270,171,109,110,81,160,济南,2014-05-17,中度污染
0.9,161,195,48,67,52,132,济南,2014-05-18,轻度污染
1.1,191,160,50,100,36,131,济南,2014-05-19,轻度污染
1.1,220,175,46,106,38,138,济南,2014-05-20,轻度污染
0.8,204,171,38,84,47,127,济南,2014-05-21,轻度污染
0.8,168,230,37,77,42,165,济南,2014-05-22,中度污染
0.6,153,166,31,53,34,105,济南,2014-05-23,轻度污染
0.6,100,149,19,52,23,91,济南,2014-05-24,良
0.7,236,108,33,90,39,143,济南,2014-05-25,轻度污染
0.6,211,155,52,63,45,131,济南,2014-05-26,轻度污染
0.8,246,146,82,62,44,148,济南,2014-05-27,轻度污染
0.8,170,163,50,58,52,110,济南,2014-05-28,轻度污染
0.8,210,242,54,74,35,177,济南,2014-05-29,中度污染
0.9,208,222,55,87,48,157,济南,2014-05-30,中度污染
1.1,244,233,65,108,60,168,济南,2014-05-31,中度污染
1.1,151,153,75,70,41,101,济南,2014-06-01,轻度污染
0.6,80,115,44,46,26,65,济南,2014-06-02,良
0.8,121,174,42,61,42,113,济南,2014-06-03,轻度污染
1.3,170,169,115,88,56,116,济南,2014-06-04,轻度污染
1.4,174,195,89,85,54,132,济南,2014-06-05,轻度污染
1.0,192,227,44,97,32,162,济南,2014-06-06,中度污染
0.6,79,155,29,42,18,96,济南,2014-06-07,良
0.7,105,213,47,49,26,148,济南,2014-06-08,轻度污染
1.4,203,172,54,111,47,145,济南,2014-06-09,轻度污染
1.7,205,242,63,115,54,177,济南,2014-06-10,中度污染
1.4,139,162,48,81,47,108,济南,2014-06-11,轻度污染
1.1,113,210,42,56,41,145,济南,2014-06-12,轻度污染
1.3,146,206,88,67,63,142,济南,2014-06-13,轻度污染
1.2,190,250,65,94,52,185,济南,2014-06-14,中度污染
0.9,130,194,29,84,25,131,济南,2014-06-15,轻度污染
1.0,125,131,21,90,23,119,济南,2014-06-16,轻度污染
0.8,132,118,20,85,26,112,济南,2014-06-17,轻度污染
0.9,106,182,22,67,30,120,济南,2014-06-18,轻度污染
1.1,138,136,37,85,43,112,济南,2014-06-19,轻度污染
1.0,73,91,31,51,35,71,济南,2014-06-20,良
1.0,137,71,40,89,39,118,济南,2014-06-21,轻度污染
1.6,207,192,98,131,59,172,济南,2014-06-22,中度污染
1.2,113,159,32,71,46,99,济南,2014-06-23,良
1.1,129,260,37,65,56,195,济南,2014-06-24,中度污染
0.8,129,187,30,84,37,125,济南,2014-06-25,轻度污染
0.7,112,177,17,73,26,115,济南,2014-06-26,轻度污染
0.8,130,191,36,78,33,128,济南,2014-06-27,轻度污染
0.8,93,191,36,43,45,128,济南,2014-06-28,轻度污染
0.9,127,184,61,62,58,122,济南,2014-06-29,轻度污染
0.9,113,138,38,48,59,82,济南,2014-06-30,良
0.6,126,166,29,77,31,105,济南,2014-07-01,轻度污染
0.6,84,122,22,56,35,76,济南,2014-07-02,良
0.6,83,163,18,48,40,103,济南,2014-07-03,轻度污染
0.8,76,128,18,44,47,73,济南,2014-07-04,良
1.2,153,175,40,88,55,116,济南,2014-07-05,轻度污染
1.3,175,191,60,96,53,128,济南,2014-07-06,轻度污染
1.0,168,172,37,91,45,120,济南,2014-07-07,轻度污染
0.9,174,197,33,96,33,134,济南,2014-07-08,轻度污染
1.2,240,192,51,119,55,156,济南,2014-07-09,中度污染
0.7,108,92,49,55,58,79,济南,2014-07-10,良
0.9,131,223,47,81,43,158,济南,2014-07-11,中度污染
0.8,143,182,28,81,48,120,济南,2014-07-12,轻度污染
0.6,108,226,40,63,33,161,济南,2014-07-13,中度污染
0.6,111,190,25,56,27,127,济南,2014-07-14,轻度污染
0.8,118,191,26,56,35,128,济南,2014-07-15,轻度污染
0.5,99,180,20,63,31,118,济南,2014-07-16,轻度污染
0.6,91,164,21,54,32,104,济南,2014-07-17,轻度污染
0.5,74,140,24,41,26,83,济南,2014-07-18,良
0.7,87,158,24,50,27,98,济南,2014-07-19,良
0.7,84,161,20,55,29,101,济南,2014-07-20,轻度污染
0.6,87,150,33,43,23,92,济南,2014-07-21,良
1.1,98,117,50,60,37,81,济南,2014-07-22,良
1.7,108,78,86,64,59,86,济南,2014-07-23,良
2.1,222,65,82,135,73,178,济南,2014-07-24,中度污染
0.6,60,115,24,39,25,63,济南,2014-07-25,良
1.0,114,179,32,66,47,117,济南,2014-07-26,轻度污染
0.9,138,218,38,75,47,153,济南,2014-07-27,中度污染
1.0,159,235,40,92,33,170,济南,2014-07-28,中度污染
0.7,120,179,23,72,23,117,济南,2014-07-29,轻度污染
0.7,77,162,39,47,27,102,济南,2014-07-30,轻度污染
1.9,252,174,63,143,59,190,济南,2014-07-31,中度污染
0.9,102,91,28,52,43,76,济南,2014-08-01,良
0.8,96,166,55,51,34,105,济南,2014-08-02,轻度污染
0.9,125,203,45,61,43,139,济南,2014-08-03,轻度污染
1.2,228,217,66,120,51,157,济南,2014-08-04,中度污染
1.3,102,80,79,56,55,76,济南,2014-08-05,良
1.5,124,106,82,68,52,91,济南,2014-08-06,良
1.0,105,187,54,61,37,125,济南,2014-08-07,轻度污染
1.4,145,192,92,69,62,129,济南,2014-08-08,轻度污染
1.0,99,112,34,56,48,76,济南,2014-08-09,良
1.0,131,195,46,74,40,132,济南,2014-08-10,轻度污染
1.1,161,203,41,92,39,139,济南,2014-08-11,轻度污染
1.4,191,188,88,95,61,125,济南,2014-08-12,轻度污染
0.7,97,157,45,61,27,98,济南,2014-08-13,良
0.9,101,186,29,61,34,124,济南,2014-08-14,轻度污染
0.8,135,199,26,78,39,135,济南,2014-08-15,轻度污染
0.7,106,176,19,58,30,115,济南,2014-08-16,轻度污染
1.2,91,113,26,52,65,71,济南,2014-08-17,良
1.4,137,99,56,86,55,114,济南,2014-08-18,轻度污染
2.2,208,155,131,120,80,157,济南,2014-08-19,中度污染
1.0,146,197,33,84,51,134,济南,2014-08-20,轻度污染
0.8,131,187,28,75,36,125,济南,2014-08-21,轻度污染
0.7,111,180,34,57,34,118,济南,2014-08-22,轻度污染
0.8,114,162,37,64,31,102,济南,2014-08-23,轻度污染
0.8,114,132,36,63,38,85,济南,2014-08-24,良
0.9,114,152,31,49,60,93,济南,2014-08-25,良
1.0,115,137,34,43,83,83,济南,2014-08-26,良
1.0,167,186,39,77,59,124,济南,2014-08-27,轻度污染
0.9,135,136,52,78,43,104,济南,2014-08-28,轻度污染
0.9,151,189,52,84,53,126,济南,2014-08-29,轻度污染
1.3,207,175,46,108,59,142,济南,2014-08-30,轻度污染
1.2,150,146,46,94,42,123,济南,2014-08-31,轻度污染
1.5,203,148,44,109,56,142,济南,2014-09-01,轻度污染
1.0,125,97,43,66,52,89,济南,2014-09-02,良
0.9,63,104,24,37,34,57,济南,2014-09-03,良
0.8,67,163,36,28,45,103,济南,2014-09-04,轻度污染
0.9,104,219,45,53,48,154,济南,2014-09-05,中度污染
1.0,156,166,30,88,58,117,济南,2014-09-06,轻度污染
1.1,173,126,34,102,47,134,济南,2014-09-07,轻度污染
1.2,172,158,33,99,40,130,济南,2014-09-08,轻度污染
2.0,178,154,100,84,74,114,济南,2014-09-09,轻度污染
1.4,193,184,60,86,75,122,济南,2014-09-10,轻度污染
0.8,104,119,36,39,61,77,济南,2014-09-11,良
0.7,84,88,29,53,39,72,济南,2014-09-12,良
1.2,131,155,85,77,56,103,济南,2014-09-13,轻度污染
1.0,107,103,34,61,53,83,济南,2014-09-14,良
1.1,95,68,30,58,42,78,济南,2014-09-15,良
1.2,86,48,27,57,47,78,济南,2014-09-16,良
1.3,64,51,56,48,56,67,济南,2014-09-17,良
1.5,181,63,71,110,67,144,济南,2014-09-18,轻度污染
1.1,124,113,21,71,41,95,济南,2014-09-19,良
0.7,69,138,18,38,31,82,济南,2014-09-20,良
1.1,131,182,32,69,49,120,济南,2014-09-21,轻度污染
1.3,195,182,33,111,62,144,济南,2014-09-22,轻度污染
1.4,235,137,69,124,61,163,济南,2014-09-23,中度污染
1.7,209,105,85,111,56,146,济南,2014-09-24,轻度污染
1.7,204,148,63,108,66,141,济南,2014-09-25,轻度污染
1.0,170,153,26,97,37,127,济南,2014-09-26,轻度污染
1.3,189,137,33,106,48,139,济南,2014-09-27,轻度污染
2.0,292,42,42,181,68,231,济南,2014-09-28,重度污染
1.3,130,98,77,71,42,95,济南,2014-09-29,良
1.2,110,98,62,57,47,80,济南,2014-09-30,良
0.9,65,154,17,36,33,95,济南,2016-07-01,良
1.3,123,212,26,68,47,148,济南,2016-07-02,轻度污染
0.9,109,133,16,67,39,90,济南,2016-07-03,良
1.6,126,160,24,68,50,100,济南,2016-07-04,良
1.8,201,199,33,114,53,149,济南,2016-07-05,轻度污染
1.2,172,231,25,101,45,166,济南,2016-07-06,中度污染
1.2,129,213,31,71,34,149,济南,2016-07-07,轻度污染
0.9,93,157,23,50,30,98,济南,2016-07-08,良
0.7,91,92,22,51,30,71,济南,2016-07-09,良
1.2,149,187,27,84,35,125,济南,2016-07-10,轻度污染
0.7,78,187,26,37,28,125,济南,2016-07-11,轻度污染
0.9,96,103,22,55,27,75,济南,2016-07-12,良
1.1,132,115,19,82,32,109,济南,2016-07-13,轻度污染
1.5,144,135,25,70,58,97,济南,2016-07-14,良
1.2,96,81,18,57,37,78,济南,2016-07-15,良
1.0,128,141,16,73,36,98,济南,2016-07-16,良
1.4,215,198,18,129,48,170,济南,2016-07-17,中度污染
1.5,197,111,15,123,54,162,济南,2016-07-18,中度污染
0.8,108,104,15,64,32,87,济南,2016-07-19,良
0.7,34,74,15,18,20,37,济南,2016-07-20,优
0.7,48,105,14,32,18,55,济南,2016-07-21,良
0.7,59,102,15,36,23,55,济南,2016-07-22,良
0.6,75,103,16,43,23,63,济南,2016-07-23,良
0.5,62,130,22,33,22,75,济南,2016-07-24,良
0.6,71,123,21,38,21,70,济南,2016-07-25,良
0.9,90,104,21,47,26,70,济南,2016-07-26,良
1.0,98,165,23,43,42,105,济南,2016-07-27,轻度污染
0.8,82,139,19,45,29,83,济南,2016-07-28,良
0.7,104,173,18,55,30,112,济南,2016-07-29,轻度污染
0.7,110,142,16,55,41,85,济南,2016-07-30,良
1.0,106,164,18,46,41,104,济南,2016-07-31,轻度污染
0.8,52,66,16,24,35,51,济南,2016-08-01,良
1.4,121,116,23,63,36,86,济南,2016-08-02,良
1.3,144,132,21,80,41,107,济南,2016-08-03,轻度污染
1.4,141,160,22,78,48,104,济南,2016-08-04,轻度污染
1.0,107,116,19,53,46,79,济南,2016-08-05,良
1.2,76,63,20,41,47,63,济南,2016-08-06,良
0.9,55,70,19,28,33,53,济南,2016-08-07,良
1.0,52,75,18,26,29,51,济南,2016-08-08,良
1.1,91,130,22,41,41,75,济南,2016-08-09,良
0.7,67,123,22,29,31,70,济南,2016-08-10,良
0.6,69,119,22,35,25,66,济南,2016-08-11,良
0.5,65,116,21,35,21,64,济南,2016-08-12,良
0.7,94,122,22,45,30,72,济南,2016-08-13,良
1.2,134,105,25,61,40,92,济南,2016-08-14,良
1.3,102,74,26,45,35,76,济南,2016-08-15,良
1.4,51,33,22,26,33,51,济南,2016-08-16,良
1.6,97,50,25,51,41,74,济南,2016-08-17,良
1.1,82,122,24,49,26,69,济南,2016-08-18,良
1.1,57,100,19,30,21,54,济南,2016-08-19,良
0.8,51,79,16,26,21,51,济南,2016-08-20,良
1.2,90,152,22,46,29,94,济南,2016-08-21,良
1.7,165,212,35,84,42,148,济南,2016-08-22,轻度污染
0.9,101,172,21,45,37,111,济南,2016-08-23,轻度污染
0.8,88,156,25,42,29,97,济南,2016-08-24,良
0.8,60,127,21,27,27,73,济南,2016-08-25,良
0.9,56,124,22,20,31,70,济南,2016-08-26,良
1.1,76,146,21,28,46,89,济南,2016-08-27,良
0.9,89,146,25,32,43,89,济南,2016-08-28,良
0.9,84,146,24,27,45,89,济南,2016-08-29,良
0.7,88,164,26,29,43,104,济南,2016-08-30,轻度污染
0.9,114,186,39,52,33,124,济南,2016-08-31,轻度污染
0.8,113,115,31,41,49,82,济南,2016-09-01,良
1.0,131,186,34,44,62,124,济南,2016-09-02,轻度污染
1.6,203,175,37,75,90,127,济南,2016-09-03,轻度污染
1.8,256,158,32,115,85,153,济南,2016-09-04,中度污染
1.4,207,203,29,110,59,144,济南,2016-09-05,轻度污染
1.3,178,124,23,91,59,120,济南,2016-09-06,轻度污染
0.8,76,137,18,42,47,81,济南,2016-09-07,良
0.9,109,183,22,56,57,121,济南,2016-09-08,轻度污染
0.9,126,178,23,54,74,117,济南,2016-09-09,轻度污染
0.7,107,146,20,45,62,89,济南,2016-09-10,良
1.1,134,176,31,57,52,115,济南,2016-09-11,轻度污染
1.2,131,170,22,59,57,110,济南,2016-09-12,轻度污染
1.1,141,136,20,68,65,96,济南,2016-09-13,良
1.2,124,189,22,58,67,127,济南,2016-09-14,轻度污染
1.1,148,206,22,87,52,142,济南,2016-09-15,轻度污染
1.4,160,238,34,91,51,173,济南,2016-09-16,中度污染
1.4,153,163,32,70,59,103,济南,2016-09-17,轻度污染
1.1,83,73,34,29,41,67,济南,2016-09-18,良
0.9,68,93,25,23,41,59,济南,2016-09-19,良
1.2,91,131,25,32,58,76,济南,2016-09-20,良
1.0,110,171,24,46,62,110,济南,2016-09-21,轻度污染
0.9,118,194,32,57,40,131,济南,2016-09-22,轻度污染
0.7,102,184,26,45,29,122,济南,2016-09-23,轻度污染
0.8,101,177,22,52,31,116,济南,2016-09-24,轻度污染
1.0,150,186,25,76,52,124,济南,2016-09-25,轻度污染
0.7,93,134,19,50,38,79,济南,2016-09-26,良
1.0,116,98,22,52,45,83,济南,2016-09-27,良
0.7,74,71,20,20,24,62,济南,2016-09-28,良
1.8,127,97,50,58,64,89,济南,2016-09-29,良
1.7,222,148,43,96,93,136,济南,2016-09-30,轻度污染
1.1,127,100,26,53,64,89,济南,2016-10-01,良
1.3,149,131,28,75,57,100,济南,2016-10-02,良
0.9,131,133,24,69,37,93,济南,2016-10-03,良
1.0,122,127,23,66,55,89,济南,2016-10-04,良
1.0,104,106,24,45,38,77,济南,2016-10-05,良
1.2,143,37,38,49,71,97,济南,2016-10-06,良
1.2,109,41,18,49,61,80,济南,2016-10-07,良
1.0,89,64,16,45,41,70,济南,2016-10-08,良
1.0,91,43,23,33,56,71,济南,2016-10-09,良
0.8,94,81,27,39,41,72,济南,2016-10-10,良
0.7,94,83,17,38,50,72,济南,2016-10-11,良
1.3,200,57,28,91,80,125,济南,2016-10-12,轻度污染
0.7,135,92,21,63,47,93,济南,2016-10-13,良
0.6,84,96,16,36,49,67,济南,2016-10-14,良
1.3,87,67,15,48,61,77,济南,2016-10-15,良
1.0,91,62,13,58,44,79,济南,2016-10-16,良
1.8,188,108,26,106,68,139,济南,2016-10-17,轻度污染
1.5,212,123,21,122,69,160,济南,2016-10-18,中度污染
1.1,137,109,20,77,56,103,济南,2016-10-19,轻度污染
1.6,183,54,28,85,74,117,济南,2016-10-20,轻度污染
1.5,178,22,21,90,62,119,济南,2016-10-21,轻度污染
1.4,57,45,13,39,37,55,济南,2016-10-22,良
0.9,50,39,13,27,32,50,济南,2016-10-23,优
1.7,98,33,37,54,56,74,济南,2016-10-24,良
1.4,123,36,19,72,60,97,济南,2016-10-25,良
2.0,179,43,29,96,61,127,济南,2016-10-26,轻度污染
1.7,128,16,30,56,63,89,济南,2016-10-27,良
0.9,54,42,14,26,34,52,济南,2016-10-28,良
0.8,73,51,22,26,45,62,济南,2016-10-29,良
0.7,83,75,17,34,35,67,济南,2016-10-30,良
0.8,58,42,10,28,32,54,济南,2016-10-31,良
1.3,86,41,24,36,41,68,济南,2016-11-01,良
0.9,122,54,20,66,43,89,济南,2016-11-02,良
1.0,121,79,17,67,39,90,济南,2016-11-03,良
1.0,112,77,24,60,44,82,济南,2016-11-04,良
1.5,188,62,29,108,61,142,济南,2016-11-05,轻度污染
1.4,173,44,32,111,48,145,济南,2016-11-06,轻度污染
1.2,122,40,19,87,47,115,济南,2016-11-07,轻度污染
1.7,130,44,22,81,52,108,济南,2016-11-08,轻度污染
0.9,89,54,19,43,41,70,济南,2016-11-09,良
0.7,103,64,19,47,31,77,济南,2016-11-10,良
0.8,146,64,20,51,35,98,济南,2016-11-11,良
2.0,231,50,45,124,74,163,济南,2016-11-12,中度污染
2.7,300,38,38,176,86,226,济南,2016-11-13,重度污染
1.8,223,55,33,118,59,155,济南,2016-11-14,中度污染
1.7,159,40,41,61,64,105,济南,2016-11-15,轻度污染
0.9,120,53,26,40,59,85,济南,2016-11-16,良
1.6,215,37,43,105,82,138,济南,2016-11-17,轻度污染
1.5,181,26,26,106,73,139,济南,2016-11-18,轻度污染
1.8,152,13,22,109,66,143,济南,2016-11-19,轻度污染
1.8,148,25,27,85,59,113,济南,2016-11-20,轻度污染
1.1,85,41,20,49,37,68,济南,2016-11-21,良
0.6,34,53,14,15,23,34,济南,2016-11-22,优
0.9,73,38,23,34,48,62,济南,2016-11-23,良
0.8,84,49,31,44,49,67,济南,2016-11-24,良
0.8,97,48,36,51,63,79,济南,2016-11-25,良
1.0,181,47,45,88,67,117,济南,2016-11-26,轻度污染
1.3,186,43,45,84,67,118,济南,2016-11-27,轻度污染
1.7,184,29,44,72,88,117,济南,2016-11-28,轻度污染
2.2,291,17,70,134,102,178,济南,2016-11-29,中度污染
1.3,204,54,47,117,73,153,济南,2016-11-30,中度污染
1.9,228,46,56,123,90,162,济南,2016-12-01,中度污染
1.5,220,80,52,123,71,162,济南,2016-12-02,中度污染
0.9,133,81,38,69,33,93,济南,2016-12-03,良
1.7,265,51,52,166,63,216,济南,2016-12-04,重度污染
2.1,266,40,37,161,57,211,济南,2016-12-05,重度污染
1.0,136,70,31,59,36,93,济南,2016-12-06,良
