co,pm10,grade,o3,date,so2,pm25,city_name,aqi,no2
42,84,73~250,63,2014-12,126,轻度污染,武汉,114,1.2709999999999999
36,123,46~285,74,2015-01,138,中度污染,武汉,161,1.5800000000000001
27,108,31~223,56,2015-02,117,轻度污染,武汉,142,1.4569999999999999
24,68,33~204,49,2015-03,98,良,武汉,94,1.135
20,59,36~133,52,2015-04,110,良,武汉,87,1.0669999999999999
15,65,45~174,45,2015-05,112,轻度污染,武汉,101,1.0229999999999999
13,41,33~116,40,2015-06,78,良,武汉,73,0.91000000000000003
10,36,43~143,33,2015-07,68,良,武汉,76,0.76800000000000002
14,41,23~158,37,2015-08,85,良,武汉,90,0.78400000000000003
19,47,46~146,41,2015-09,88,良,武汉,92,0.92700000000000005
23,71,40~153,65,2015-10,131,轻度污染,武汉,101,1.135
18,57,30~129,46,2015-11,80,良,武汉,78,1.2429999999999999
21,109,55~334,58,2015-12,157,轻度污染,武汉,146,1.2969999999999999
21,107,80~249,51,2016-01,141,轻度污染,武汉,144,1.3519999999999999
20,80,43~228,46,2016-02,123,轻度污染,武汉,113,1.083
19,84,39~202,58,2016-03,136,轻度污染,武汉,115,1.0549999999999999
11,47,42~111,50,2016-04,89,良,武汉,76,1.0070000000000001
8,44,42~122,41,2016-05,86,良,武汉,76,0.81900000000000006
6,31,33~114,38,2016-06,64,良,武汉,69,0.753
5,24,29~128,31,2016-07,57,良,武汉,70,0.66799999999999993
7,34,27~137,34,2016-08,78,良,武汉,86,0.83900000000000008
12,45,34~163,45,2016-09,99,良,武汉,94,0.80700000000000005
8,35,32~113,41,2016-10,59,良,武汉,60,1.0580000000000001
11,61,28~182,52,2016-11,93,良,武汉,84,1.2329999999999999
14,93,62~186,67,2016-12,123,轻度污染,武汉,123,1.4159999999999999
14,89,45~232,54,2017-01,120,轻度污染,武汉,120,1.335
14,73,55~215,57,2017-02,102,轻度污染,武汉,102,1.246
12,64,42~273,58,2017-03,102,良,武汉,94,1.1000000000000001
11,44,37~104,53,2017-04,96,良,武汉,81,1.0600000000000001
8,48,35~500,50,2017-05,119,轻度污染,武汉,103,0.95200000000000007
5,32,33~120,38,2017-06,63,良,武汉,74,0.94700000000000006
4,23,32~125,29,2017-07,57,良,武汉,62,0.7390000000000001
6,24,30~96,32,2017-08,51,良,武汉,64,0.89700000000000002
8,30,34~125,45,2017-09,62,良,武汉,74,1.0669999999999999
9,34,24~134,46,2017-10,65,良,武汉,62,0.96799999999999997
13,76,58~190,70,2017-11,117,轻度污染,武汉,106,1.1799999999999999
16,95,60~230,71,2017-12,130,轻度污染,武汉,128,1.258
11,86,52~226,53,2018-01,93,轻度污染,武汉,116,1.2
12,69,29~169,54,2018-02,100,良,武汉,97,1.1000000000000001
9,50,37~120,57,2018-03,85,良,武汉,77,1.042
9,82,92~127,87,2018-04,153,轻度污染,武汉,110,1.5
